favorite_count,retweet_count,tweet_id
2242,540,690728923253055490
1352,291,690649993829576704
2024,634,690597161306841088
3356,889,690374419777196032
1555,539,690348396616552449
2875,1077,690021994562220032
3775,1771,690005060500217858
1503,475,689993469801164801
2504,724,689905486972461056
2227,785,689835978131935233
10670,4060,689659372465688576
11993,5784,689599056876867584
3507,1499,689517482558820352
3386,1151,689283819090870273
1189,255,689275259254616065
3164,1044,689154315265683456
2813,911,688916208532455424
2166,826,688898160958271489
1420,390,688828561667567616
2286,688,688789766343622656
2388,767,688519176466644993
2299,869,688211956440801280
2920,815,688116655151435777
5630,2646,687841446767013888
2568,997,687818504314159109
1819,691,687732144991551489
1996,531,687664829264453632
1651,252,687480748861947905
2126,566,687460506001633280
20751,9571,687317306314240000
5631,2398,687127927494963200
5991,2589,687109925361856513
2317,631,687096057537363968
3635,1446,686760001961103360
4279,1258,686730991906516992
3805,1429,686618349602762752
1790,711,686394059078897668
2281,590,686377065986265092
4126,1745,686286779679375361
1191,127,686035780142297088
2569,442,686007916130873345
2175,545,685973236358713344
7743,3058,685906723014619143
2417,600,685667379192414208
3023,818,685641971164143616
3130,1210,685532292383666176
2728,675,685321586178670592
2139,460,685307451701334016
2410,695,685198997565345792
2439,393,684969860808454144
3323,1092,684940049151070208
3622,1542,684914660081053696
2164,860,684880619965411328
2807,1046,684800227459624960
4241,1474,684588130326986752
2729,999,684538444857667585
2043,580,684460069371654144
1275,220,684225744407494656
2233,1072,684200372118904832
3593,1232,684188786104872960
3072,1563,684147889187209216
4237,1506,684097758874210310
1986,370,683852578183077888
2705,1161,683834909291606017
3444,1418,683773439333797890
7567,3059,683515932363329536
2729,1044,683481228088049664
4022,1689,683449695444799489
3017,973,683357973142474752
3499,956,683111407806746624
2044,587,683078886620553216
38053,17480,682962037429899265
2544,1171,682788441537560576
